month,rain,SOI,year,moy,time,log_flow,flow
1983-01-01,0.06408906273506847,0.04470198675496682,1983,0.08333333333333333,0,-0.786336211841837,0.455510636249731
1983-02-01,0.07552279223709944,0,1983,0.16666666666666666,0.002036659877800407,-0.996908023190994,0.369018676208591
1983-03-01,0.4666766962539491,0.08774834437086088,1983,0.25,0.004073319755600814,2.35678517499822,10.5569580675807
1983-04-01,0.23740033097638027,0.2698675496688741,1983,0.3333333333333333,0.006109979633401222,1.32002247389823,3.74350550747731
1983-05-01,0.3057018203700918,0.6506622516556291,1983,0.4166666666666667,0.008146639511201629,2.43728116237046,11.4418897742999
1983-06-01,0.11824883406047841,0.49999999999999994,1983,0.5,0.010183299389002037,1.01702802394942,2.76496513073609
1983-07-01,0.061080186550323455,0.4254966887417218,1983,0.5833333333333334,0.012219959266802444,0.41695786806537,1.51733858317835
1983-08-01,0.21874529863096132,0.5529801324503311,1983,0.6666666666666666,0.014256619144602852,2.13682002834134,8.47245258668633
1983-09-01,0.07010681510455845,0.7152317880794702,1983,0.75,0.016293279022403257,0.834287649685123,2.303172797916
1983-10-01,0.2377012185948548,0.6208609271523179,1983,0.8333333333333334,0.018329938900203666,1.93633181350386,6.93327173416222
1983-11-01,0.052655333233037456,0.5397350993377482,1983,0.9166666666666666,0.020366598778004074,0.273440843513395,1.31447959691734
1983-12-01,0.15525801113284188,0.5529801324503311,1983,1,0.02240325865580448,0.935735355729646,2.54908725461899
1984-01-01,0.28764856326162175,0.5728476821192052,1984,0.08333333333333333,0.024439918533604887,1.85700753302364,6.40454268443488
1984-02-01,0.1963291710546111,0.6473509933774834,1984,0.16666666666666666,0.026476578411405296,1.4469886612592,4.25029614318949
1984-03-01,0.4161275763502332,0.45529801324503305,1984,0.25,0.028513238289205704,2.87688585905479,17.7588833127842
1984-04-01,0.15134647209267335,0.5844370860927152,1984,0.3333333333333333,0.03054989816700611,0.958393835247485,2.60750502558221
1984-05-01,0.21423198435384383,0.5463576158940397,1984,0.4166666666666667,0.032586558044806514,1.20350267537104,3.331766605128
1984-06-01,0.1350985406950504,0.4072847682119205,1984,0.5,0.034623217922606926,0.351208016655085,1.42078284166936
1984-07-01,0.22686926432977278,0.587748344370861,1984,0.5833333333333334,0.03665987780040733,1.40712325650214,4.08418932310776
1984-08-01,0.01323905521287799,0.5960264900662252,1984,0.6666666666666666,0.038696537678207736,-0.276057596907151,0.758769226741943
1984-09-01,0.07883255604031893,0.5844370860927152,1984,0.75,0.04073319755600815,0.110071632513473,1.11635803512679
1984-10-01,0.08123965698811493,0.46854304635761584,1984,0.8333333333333334,0.04276985743380855,-0.122250576188154,0.884926599184712
1984-11-01,0.7782458251842937,0.6158940397350993,1984,0.9166666666666666,0.04480651731160896,4.09094657802907,59.7964669453072
1984-12-01,0.14728448924326765,0.5281456953642384,1984,1,0.04684317718940937,0.522595568583688,1.68639913861877
1985-01-01,0.0033097638032194977,0.4933774834437086,1985,0.08333333333333333,0.048879837067209775,-0.792737362882258,0.452604156199823
1985-02-01,0.08259365127125017,0.6622516556291391,1985,0.16666666666666666,0.05091649694501019,0.810328994258245,2.24864765716415
1985-03-01,0.1308861140364074,0.5182119205298013,1985,0.25,0.05295315682281059,1.06606135671364,2.90391944343451
1985-04-01,0.4474198886715811,0.7897350993377483,1985,0.3333333333333333,0.054989816700611,3.68723329088759,39.9342076382868
1985-05-01,0.19377162629757783,0.5976821192052979,1985,0.4166666666666667,0.05702647657841141,1.54325719272639,4.67980851140679
1985-06-01,0.18624943583571538,0.39238410596026485,1985,0.5,0.059063136456211814,1.37285065088742,3.94658501137141
